Week of the month,Day,Time,Meal Type,Description
1,Lunes,7:00,Desayuno,"1 taza de café, con leche (210 g); 1 ración individual de avena en copos, para el desayuno (35 g); 1 unidad grande de plátano (200 g)"
1,Lunes,10:00,Media Mañana,"2 puñados, mano cerrada, sin cáscara de almendra, cruda (40 g)"
1,Lunes,13:00,Comida,"Primer Plato: 250 gramos de garbanzo, en conserva; 1 unidad pequeña de pimiento rojo, crudo (150 g); 1 ración individual de lechuga (70 g); 1 unidad pequeña de zanahoria, cruda (45 g); 100 gramos de cebolla; 6 rodajas de pepino (60 g); Segundo Plato: 1 ración individual de arroz integral, crudo (150 g); Postre: 1 unidad grande de manzana (230 g)"
1,Lunes,16:00,Merienda,"1 ración individual de calabaza, cruda (320 g); 180 gramos de ternera, redondo, filete, cocido; 1 ración individual de quinoa, cruda (80 g)"
1,Lunes,19:00,Cena,"Primer Plato: 2 unidades medianas de huevo de gallina, clara, cruda (66 g); 2 latas pequeñas de atún, enlatado, al natural, escurrido (100 g); 2 porciones de brócoli horneado (408 g); 1 ración individual de queso fresco, tipo Burgos: envasado (50 g); Postre: 1 unidad grande de naranja (310 g)"
1,Martes,7:00,Desayuno,"1 taza de café, con leche (210 g); 2 panecillos medianos de pan integral (120 g); 4 lonchas de pavo, fiambre (120 g); 1 unidad grande de tomate (260 g)"
1,Martes,12:00,Comida,"Primer Plato: 150 gramos de preparado de carne picada vacuno Mercadona; 1 unidad mediana de berenjena (360 g); 1 ración individual de arroz integral, crudo (80 g); Postre: 1 unidad grande de naranja (310 g)"
1,Martes,16:00,Merienda,"1 unidad de yogur líquido, desnatado, de fresa y frambuesa alto en proteína sin lactosa y sin azúcar añadido YOPRO (300 g)"
1,Martes,19:00,Cena,Primer Plato: 150 gramos de filete de pechuga de pavo Mercadona; 1 ración individual de lechuga (70 g); 1 unidad grande de tomate (260 g); 1 unidad grande de cebolla (200 g); 7 unidades minis de queso mozzarella (56 g)
1,Miércoles,7:00,Desayuno,"1 taza de café, con leche (210 g); 5 lonchas de pavo, fiambre (150 g); 1 ración individual de queso fresco, vaca, 0% MG/ES, natural (50 g)"
1,Miércoles,10:00,Media Mañana,4 unidades de galleta salada (20 g)
1,Miércoles,12:00,Comida,"Primer Plato: 150 gramos de salmón; 1 ración individual de lechuga (70 g); 1 unidad grande de tomate (260 g); 2 latas pequeñas de maíz, hervido, en lata (280 g); 1 unidad mediana de cebolla (140 g)"
